province,Store,Type,Size
California,1,A,151315
Northern Spain,2,A,202307
California,3,B,37392
Oregon,4,A,205863
Provence,5,B,34875
Northern Spain,6,A,202505
Northern Spain,7,B,70713
Northern Spain,8,A,155078
Oregon,9,B,125833
California,10,B,126512
Northeastern Italy,11,A,207499
Oregon,12,B,112238
Oregon,13,A,219622
Southwest France,14,A,200898
Oregon,15,B,123737
Oregon,16,B,57197
California,17,B,93188
Northern Spain,18,B,120653
Southwest France,19,A,203819
California,20,A,203742
California,21,B,140167
Northern Spain,22,B,119557
Northern Spain,23,B,114533
California,24,A,203819
California,25,B,128107
Kumeu,26,A,152513
Oregon,27,A,204184
Oregon,28,A,206302
California,29,B,93638
Washington,30,C,42988
Bulgaria,31,A,203750
California,32,A,203007
Tuscany,33,A,39690
France Other,34,A,158114
Washington,35,B,103681
Tuscany,36,A,39910
Rhône Valley,37,C,39910
Tuscany,38,C,39690
Tuscany,39,A,184109
Tuscany,40,A,155083
Galicia,41,A,196321
Andalucia,42,C,39690
Idaho,43,C,41062
Tuscany,44,C,39910
Rhône Valley,45,B,118221
Tuscany,,,
Tuscany,,,
California,,,
Tuscany,,,
Washington,,,
Tuscany,,,
Burgundy,,,
Loire Valley,,,
Loire Valley,,,
California,,,
Washington,,,
Loire Valley,,,
New York,,,
Washington,,,
Tuscany,,,
Mendoza Province,,,
Victoria,,,
Mendoza Province,,,
Burgundy,,,
Alentejano,,,
California,,,
Burgundy,,,
California,,,
Oregon,,,
California,,,
California,,,
California,,,
Piedmont,,,
Oregon,,,
Alentejo,,,
Oregon,,,
Champagne,,,
California,,,
California,,,
Piedmont,,,
Oregon,,,
Upper Galilee,,,
Piedmont,,,
Piedmont,,,
Piedmont,,,
Piedmont,,,
Burgundy,,,
California,,,
California,,,
California,,,
California,,,
Beira Atlantico,,,
Veneto,,,
California,,,
Douro,,,
Southwest France,,,
California,,,
California,,,
Southwest France,,,
Southwest France,,,
California,,,
California,,,
Tuscany,,,
California,,,
California,,,
Washington,,,
California,,,
California,,,
California,,,
California,,,
Tejo,,,
Mendoza Province,,,
California,,,
New York,,,
Stellenbosch,,,
Mendoza Province,,,
Levante,,,
Southwest France,,,
Southwest France,,,
Alentejano,,,
California,,,
California,,,
California,,,
California,,,
California,,,
California,,,
California,,,
California,,,
Northern Spain,,,
Sicily & Sardinia,,,
Southern Italy,,,
California,,,
California,,,
California,,,
California,,,
California,,,
California,,,
California,,,
Northern Spain,,,
Languedoc-Roussillon,,,
Bordeaux,,,
California,,,
California,,,
Oregon,,,
California,,,
California,,,
California,,,
Galicia,,,
California,,,
California,,,
Oregon,,,
Atalanti Valley,,,
Catalonia,,,
Santorini,,,
Florina,,,
Marchigue,,,
Southwest France,,,
Oregon,,,
Northern Spain,,,
Colchagua Valley,,,
California,,,
Oregon,,,
Northern Spain,,,
California,,,
California,,,
Oregon,,,
Tuscany,,,
Tuscany,,,
Douro,,,
California,,,
California,,,
Curicó Valley,,,
Nemea,,,
California,,,
Rhône Valley,,,
Northern Spain,,,
Tuscany,,,
Tuscany,,,
California,,,
Maule Valley,,,
California,,,
California,,,
California,,,
Washington,,,
Mendoza Province,,,
Washington,,,
California,,,
California,,,
Northern Spain,,,
Catalonia,,,
Mendoza Province,,,
Bordeaux,,,
Bordeaux,,,
Bordeaux,,,
Bordeaux,,,
Bordeaux,,,
California,,,
Washington,,,
New York,,,
New York,,,
New York,,,
New York,,,
Bordeaux,,,
Bordeaux,,,
Washington,,,
Washington,,,
Washington,,,
New York,,,
Washington,,,
Catalonia,,,
Douro,,,
Piedmont,,,
California,,,
Piedmont,,,
Alsace,,,
Alsace,,,
Guerrouane,,,
Piedmont,,,
Alsace,,,
Alsace,,,
Washington,,,
California,,,
Alsace,,,
California,,,
Piedmont,,,
Bordeaux,,,
California,,,
Washington,,,
California,,,
Douro,,,
Washington,,,
California,,,
Washington,,,
Washington,,,
Piedmont,,,
Alsace,,,
Alsace,,,
Alsace,,,
Alentejano,,,
Piedmont,,,
Bordeaux,,,
Bordeaux,,,
Bordeaux,,,
Bordeaux,,,
Bordeaux,,,
California,,,
Oregon,,,
Colinele Dobrogei,,,
California,,,
California,,,
California,,,
Piedmont,,,
Oregon,,,
California,,,
Oregon,,,
Piedmont,,,
California,,,
California,,,
Piedmont,,,
Northern Spain,,,
Central Spain,,,
Loire Valley,,,
California,,,
California,,,
Piedmont,,,
Loire Valley,,,
California,,,
California,,,
California,,,
Mendoza Province,,,
